2026-05-03 08:41:03,117 | INFO | fb_page_manager.scheduler | Starting pipeline cycle
2026-05-03 08:41:03,118 | INFO | fb_page_manager.crawler | Starting content collection
2026-05-03 08:41:03,118 | WARNING | fb_page_manager.crawler | RSS_FEEDS is empty. Skipping RSS collection.
2026-05-03 08:41:03,119 | WARNING | fb_page_manager.crawler | NEWSAPI_KEY is empty. Skipping NewsAPI.
2026-05-03 08:41:03,119 | INFO | fb_page_manager.crawler | Collection finished: rss=0, newsapi=0, merged=0, unique=0, fresh=0
2026-05-03 08:41:03,120 | INFO | fb_page_manager.scheduler | Collected 0 items, inserted 0 new posts
2026-05-03 08:41:03,121 | INFO | fb_page_manager.scheduler | Cycle complete
2026-05-03 08:41:03,132 | INFO | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-05-03 08:41:03,133 | INFO | fb_page_manager.scheduler | Scheduler started: every 60 minutes
2026-05-03 08:41:03,148 | INFO | apscheduler.scheduler | Added job "ContentScheduler.run_cycle" to job store "default"
2026-05-03 08:41:03,148 | INFO | apscheduler.scheduler | Scheduler started
